tob_gear_armor	25stweap|armor
thac0_3	thac0|3
thac0_4	thac0|4
thac0_5	thac0|5
thac0_6	thac0|6
thac0_7	thac0|7
thac0_8	thac0|8
thac0_9	thac0|9
thac0_10	thac0|10
thac0_11	thac0|11
thac0_12	thac0|12
thac0_13	thac0|13
thac0_14	thac0|14
thac0_15	thac0|15
thac0_16	thac0|16
thac0_17	thac0|17
thac0_18	thac0|18
thac0_19	thac0|19
thac0_20	thac0|20
thac0_21	thac0|21
thac0_22	thac0|22
thac0_23	thac0|23
thac0_24	thac0|24
thac0_25	thac0|25
thac0_26	thac0|26
thac0_27	thac0|27
thac0_28	thac0|28
thac0_29	thac0|29
thac0_30	thac0|30
thac0_31	thac0|31
thac0_32	thac0|32
thac0_33	thac0|33
thac0_34	thac0|34
thac0_35	thac0|35
thac0_36	thac0|36
thac0_37	thac0|37
thac0_38	thac0|38
thac0_39	thac0|39
thac0_40	thac0|40
scale_pick_pockets	thiefscl|pick_pockets
scale_open_locks	thiefscl|open_locks
scale_find_traps	thiefscl|find_traps
scale_move_silently	thiefscl|move_silently
scale_hide_in_shadows	thiefscl|hide_in_shadows
scale_detect_illusion	thiefscl|detect_illusion
scale_set_traps	thiefscl|set_traps
scale_stealth	thiefscl|stealth
skill_start_points	thiefskl|start_points
skill_level_points	thiefskl|level_points
trap_limit	traplimt|limit
prof_large_sword	weapprof|large_sword
prof_small_sword	weapprof|small_sword
prof_bow	weapprof|bow
prof_spear	weapprof|spear
prof_blunt	weapprof|blunt
prof_spiked	weapprof|spiked
prof_axe	weapprof|axe
prof_missile	weapprof|missile
prof_bastardsword	weapprof|bastardsword
prof_longsword	weapprof|longsword
prof_shortsword	weapprof|shortsword
prof_twohandedsword	weapprof|twohandedsword
prof_katana	weapprof|katana
prof_scimitarwakisashininjato	weapprof|scimitarwakisashininjato
prof_dagger	weapprof|dagger
prof_warhammer	weapprof|warhammer
prof_club	weapprof|club
prof_halberd	weapprof|halberd
prof_flailmorningstar	weapprof|flailmorningstar
prof_mace	weapprof|mace
prof_quarterstaff	weapprof|quarterstaff
prof_crossbow	weapprof|crossbow
prof_longbow	weapprof|longbow
prof_shortbow	weapprof|shortbow
prof_dart	weapprof|dart
prof_sling	weapprof|sling
prof_2handed	weapprof|2handed
prof_swordandshield	weapprof|swordandshield
prof_singleweapon	weapprof|singleweapon
prof_2weapon	weapprof|2weapon
prof_extra2	weapprof|extra2
prof_extra3	weapprof|extra3
prof_extra4	weapprof|extra4
prof_extra5	weapprof|extra5
prof_extra6	weapprof|extra6
prof_extra7	weapprof|extra7
prof_extra8	weapprof|extra8
prof_extra9	weapprof|extra9
prof_extra10	weapprof|extra10
prof_extra11	weapprof|extra11
prof_extra12	weapprof|extra12
prof_extra13	weapprof|extra13
prof_extra14	weapprof|extra14
prof_extra15	weapprof|extra15
prof_extra16	weapprof|extra16
prof_extra17	weapprof|extra17
prof_extra18	weapprof|extra18
prof_extra19	weapprof|extra19
prof_extra20	weapprof|extra20
xpcap_value	xpcap|value
xplevel_1	xplevel|1
xplevel_2	xplevel|2
xplevel_3	xplevel|3
xplevel_4	xplevel|4
xplevel_5	xplevel|5
xplevel_6	xplevel|6
xplevel_7	xplevel|7
xplevel_8	xplevel|8
xplevel_9	xplevel|9
xplevel_10	xplevel|10
xplevel_11	xplevel|11
xplevel_12	xplevel|12
xplevel_13	xplevel|13
xplevel_14	xplevel|14
xplevel_15	xplevel|15
xplevel_16	xplevel|16
xplevel_17	xplevel|17
xplevel_18	xplevel|18
xplevel_19	xplevel|19
xplevel_20	xplevel|20
xplevel_21	xplevel|21
xplevel_22	xplevel|22
xplevel_23	xplevel|23
xplevel_24	xplevel|24
xplevel_25	xplevel|25
xplevel_26	xplevel|26
xplevel_27	xplevel|27
xplevel_28	xplevel|28
xplevel_29	xplevel|29
xplevel_30	xplevel|30
xplevel_31	xplevel|31
xplevel_32	xplevel|32
xplevel_33	xplevel|33
xplevel_34	xplevel|34
xplevel_35	xplevel|35
xplevel_36	xplevel|36
xplevel_37	xplevel|37
xplevel_38	xplevel|38
xplevel_39	xplevel|39
xplevel_40	xplevel|40
xplevel_41	xplevel|41
