
spell_used_resref spell_used_ids resource_using	resource_using_ext
SPPR424 CLERIC_UNFAILING_ENDURANCE ibody itm
SPPR423 CLERIC_CLOUD_OF_PESTILENCE ibody itm
SPPR326 CLERIC_MOLD_TOUCH ibody itm
SPIN146 INNATE_BEHOLDER_SLOW WIZARD_EXPEDITIOUS_RETREAT spl
SPWI726 WIZARD_SUFFOCATE WIZARD_ANTIMAGIC_SHELL spl
SPWI724 WIZARD_ACID_STORM WIZARD_ANTIMAGIC_SHELL spl
SPPR738 CLERIC_HEAVENLY_INFERNO WIZARD_ANTIMAGIC_SHELL spl
SPPR736 CLERIC_MIST_OF_ELDATH WIZARD_ANTIMAGIC_SHELL spl
SPWI631 WIZARD_SOUL_EATER WIZARD_ANTIMAGIC_SHELL spl
SPPR617 CLERIC_WHIRLWIND WIZARD_ANTIMAGIC_SHELL spl
SPWI524 WIZARD_SHROUD_OF_FLAME WIZARD_ANTIMAGIC_SHELL spl
SPPR519 CLERIC_SPIKE_STONES WIZARD_ANTIMAGIC_SHELL spl
SPWI432 WIZARD_VITRIOLIC_SPHERE WIZARD_ANTIMAGIC_SHELL spl
SPPR428 CLERIC_WALL_OF_MOONLIGHT WIZARD_ANTIMAGIC_SHELL spl
SPPR427 CLERIC_THORN_SPRAY WIZARD_ANTIMAGIC_SHELL spl
SPPR426 CLERIC_SMASHING_WAVE WIZARD_ANTIMAGIC_SHELL spl
SPPR423 CLERIC_CLOUD_OF_PESTILENCE WIZARD_ANTIMAGIC_SHELL spl
SPPR420 CLERIC_STATIC_CHARGE WIZARD_ANTIMAGIC_SHELL spl
SPPR419 CLERIC_PRODUCE_FIRE WIZARD_ANTIMAGIC_SHELL spl
SPPR326 CLERIC_MOLD_TOUCH WIZARD_ANTIMAGIC_SHELL spl
SPPR324 CLERIC_SPIKE_GROWTH WIZARD_ANTIMAGIC_SHELL spl
SPPR716 CLERIC_SYMBOL_HOPELESSNESS 7eyes 2da
SPPR734 CLERIC_DESTRUCTION 7eyes 2da
SPWI431 WIZARD_SHOUT SEVEN_EYES_FORTITUDE spl
SPPR422 CLERIC_BLOOD_RAGE CLERIC_EXALTATION spl
SPIN193 INNATE_SALAMANDER_AURA_FROST CLERIC_CLOUDBURST spl
SPIN194 INNATE_SALAMANDER_AURA_FIRE CLERIC_CLOUDBURST spl
SPIN187 INNATE_SALAMANDER_AURA_SHIKATA CLERIC_CLOUDBURST spl
SPIN128 INNATE_FROST_AURA CLERIC_CLOUDBURST spl
SPWI524 WIZARD_SHROUD_OF_FLAME CLERIC_CLOUDBURST spl
SPPR714 CLERIC_SYMBOL_PAIN CLERIC_BLOOD_RAGE spl
SPPR716 CLERIC_SYMBOL_HOPELESSNESS CLERIC_BLOOD_RAGE spl
SPWI427 WIZARD_EMOTION_COURAGE CLERIC_BLOOD_RAGE spl
SPWI428 WIZARD_EMOTION_FEAR CLERIC_BLOOD_RAGE spl
SPWI429 WIZARD_EMOTION_HOPE CLERIC_BLOOD_RAGE spl
SPWI033 TRAP_MAGIC_MISSILE_5 CLERIC_ENTROPY_SHIELD spl
SPWI327 WIZARD_ICELANCE CLERIC_ENTROPY_SHIELD spl
SPWI429 WIZARD_EMOTION_HOPE CLERIC_SYMBOL_HOPELESSNESS spl
SPPR716 CLERIC_SYMBOL_HOPELESSNESS CLERIC_IMPERVIOUS_SANCTITY_OF_MIND spl
SPPR422 CLERIC_BLOOD_RAGE CLERIC_IMPERVIOUS_SANCTITY_OF_MIND spl
SPIN191 INNATE_BOMBARDIER_BEETLE_CLOUD fartrng itm
